word	speech_count	narrative_count
evident	191	15
stance	191	13
prices	191	8
somewhat	191	3
varied	191	0
boosting	191	0
shy	190	306
impress	190	181
staring	190	111
essay	190	85
sticks	190	53
holiday	190	47
instant	190	40
chairs	190	37
speakers	190	7
downs	190	5
hotel	189	77
resume	189	51
worn	189	26
hiring	189	20
tackled	189	16
till	189	4
indoors	189	3
polite	188	285
finger	188	150
proposed	188	135
blog	188	77
lecture	188	70
forgetting	188	57
countries	188	46
flies	188	16
witness	188	16
focuses	188	14
planner	188	10
soak	188	2
significance	188	1
collaborations	188	0
simultaneously	188	0
continuously	188	0
approached	187	246
receive	187	175
victory	187	88
spaghetti	187	69
liking	187	51
eight	187	41
coach	187	37
turkey	187	30
according	187	30
nurturing	187	15
bonus	187	13
achievement	187	8
boutique	187	6
evolution	187	3
broaden	187	1
delegate	187	1
spontaneity	187	0
extraordinary	187	0
tries	186	2075
betrayed	186	389
judge	186	125
beliefs	186	119
immensely	186	73
nap	186	47
burst	186	20
discovery	186	12
galleries	186	8
commute	186	8
strategize	186	3
allocations	186	0
bottom	185	82
tail	185	67
occasions	185	29
caramel	185	7
functions	185	5
chapters	185	5
joys	185	5
revenue	185	4
emergencies	185	2
achievable	185	2
he'll	184	267
destination	184	88
returning	184	71
playground	184	68
political	184	62
serves	184	25
flour	184	16
flattering	184	11
navigation	184	0
mail	183	146
presented	183	80
disrespectful	183	79
entertained	183	75
succeeded	183	52
recommendation	183	36
juice	183	33
cleared	183	25
matched	183	25
trained	183	24
dragon	183	21
shaken	183	16
symptoms	183	12
signature	183	11
demonstrate	183	8
fewer	183	5
essentially	183	1
scenario	183	0
synergy	183	0
scare	182	34
luckily	182	27
ridiculous	182	24
arranging	182	9
submit	182	8
calculated	182	2
outlined	182	2
flair	182	1
drove	181	500
meets	181	356
quit	181	166
spilled	181	79
attended	181	70
qualities	181	44
rooms	181	41
hooked	181	32
nostalgic	181	21
wisely	181	21
intensity	181	9
clutter	181	6
tiramisu	181	0
oversight	181	0
encouraged	180	205
agreement	180	113
clothing	180	110
company's	180	71
war	180	58
shiny	180	47
corners	180	33
believing	180	28
heavily	180	20
virtual	180	4
establishing	180	1
struggled	179	51
assured	179	46
obviously	179	26
improves	179	17
concrete	179	15
scattered	179	14
artistic	179	14
bugs	179	12
inventory	179	6
professor	179	5
swiftly	179	3
extension	179	2
savor	179	2
something's	179	1
born	178	205
argue	178	183
mall	178	90
fence	178	78
collected	178	61
soda	178	53
income	178	21
except	178	10
responses	178	9
promptly	178	7
lists	178	6
sidetracked	178	4
nutrients	178	4
exotic	178	4
exposure	178	2
resolving	178	1
repetitive	178	0
father	177	506
crying	177	286
bathroom	177	153
beer	177	129
washing	177	56
attached	177	55
restaurants	177	36
flavorful	177	24
gears	177	7
international	177	2
raving	177	1
linkedin	177	0
woke	176	154
dirt	176	117
jeans	176	90
buildings	176	30
protection	176	25
countless	176	8
tales	176	5
seasoning	176	4
bits	176	3
mitigate	176	0
hill	175	61
hurting	175	59
rome	175	58
completing	175	54
moon	175	46
isolated	175	20
melts	175	10
generations	175	8
outdated	175	7
compliment	174	84
roasted	174	63
manner	174	58
beats	174	42
spill	174	25
depend	174	12
holidays	174	6
reliability	174	3
carbon	174	2
competitors	174	2
alternatives	174	0
chosen	173	103
adopt	173	88
upbeat	173	43
shadow	173	41
collect	173	34
traveled	173	27
matching	173	26
pros	173	20
bookshelf	173	12
capacity	173	4
strategically	173	4
dismiss	173	2
hurdles	173	0
moreover	173	0
danger	172	160
lazy	172	156
careless	172	93
slice	172	63
wore	172	57
minded	172	46
grilled	172	35
misplaced	172	31
volume	172	11
experiments	172	10
lacking	172	8
intricacies	172	1
protocols	172	0
healthcare	172	0
began	171	874
boy	171	370
strike	171	75
file	171	69
cakes	171	53
schoolwork	171	49
splash	171	29
invested	171	24
slipping	171	16
represents	171	12
concentration	171	10
mundane	171	6
dull	171	4
overwhelm	171	4
consumer	171	0
emily	170	68
y	170	12
predictable	170	4
expressive	170	3
dwell	170	2
output	170	2
brunch	170	0
tweaking	170	0
applied	169	101
backs	169	97
french	169	56
shooting	169	53
journal	169	41
fans	169	31
net	169	17
fitness	169	7
importantly	169	3
define	169	3
drew	168	96
lending	168	69
persistence	168	27
resolved	168	24
participating	168	10
pops	168	8
automate	168	0
dreamed	167	77
steak	167	75
grace	167	54
injuries	167	48
sneak	167	46
refreshed	167	25
espresso	167	7
unnoticed	167	3
solitude	167	3
formulas	167	1
perseverance	167	1
ordered	166	231
english	166	103
shore	166	88
hesitation	166	76
island	166	68
studied	166	57
clues	166	39
lemonade	166	27
motivates	166	23
heavier	166	7
buzz	166	5
infrastructure	166	2
q	166	0
neighbor	165	128
forth	165	125
contacts	165	73
battle	165	48
commit	165	31
height	165	18
jam	165	16
giant	165	13
stamina	165	5
stomach	164	224
rise	164	85
farm	164	77
signed	164	76
wraps	164	61
de	164	38
heartfelt	164	37
paced	164	13
motivate	164	11
drag	164	11
visible	164	8
everybody	164	0
pottery	164	0
showcasing	164	0
enhanced	164	0
drawer	163	60
contest	163	57
elm	163	35
cinnamon	163	34
treatments	163	12
steer	163	12
collective	163	2
chilling	163	1
gripping	163	1
installations	163	0
tones	163	0
lied	162	298
burning	162	110
soap	162	64
shoot	162	40
disappeared	162	25
wander	162	25
fountain	162	23
drift	162	23
strongly	162	17
academic	162	14
adopting	162	13
hills	162	6
overly	162	3
personalities	162	3
targeted	162	2
mother	161	612
loan	161	106
cafeteria	161	76
thoughtfulness	161	56
trapped	161	39
tasted	161	26
bump	161	21
meantime	161	2
interruptions	161	2
overdo	161	2
spiraled	161	1
parked	160	103
autumn	160	39
flowing	160	30
divine	160	29
intentionally	160	15
narrow	160	12
master	160	11
rearranging	160	2
reduces	160	1
incidents	160	1
outlining	160	1
kissed	159	329
candles	159	34
soaking	159	12
agility	159	11
preference	159	10
plain	159	5
ate	158	232
fills	158	121
quietly	158	66
strokes	158	49
raising	158	46
tower	158	37
castle	158	34
stream	158	26
numerous	158	12
catchy	158	9
trailer	158	6
calmness	158	3
documentation	158	2
format	158	1
revisiting	158	0
discrepancies	158	0
enrich	158	0
demographics	158	0
tennis	157	135
property	157	121
notebook	157	103
magazine	157	90
bumped	157	50
sunscreen	157	22
cons	157	21
submitted	157	15
tunes	157	9
greens	157	7
loops	157	6
centuries	157	4
finalizing	157	2
jot	157	2
themed	157	1
societal	157	0
gadgets	157	0
combo	157	0
underestimate	157	0
spotted	156	109
law	156	105
contract	156	100
cookie	156	89
altogether	156	56
socks	156	52
accepting	156	35
bothered	156	34
perfection	156	24
accurately	156	21
million	156	19
comfortably	156	13
assumptions	156	11
contributed	156	9
smallest	156	7
reschedule	156	7
regain	156	5
nuts	156	4
lattes	156	2
breather	156	0
quirky	156	0
copy	155	92
bushes	155	77
digging	155	51
blame	155	35
recycling	155	17
normally	155	16
distract	155	8
explores	155	5
freezing	155	4
investments	155	4
frankly	155	2
harmonious	155	1
utilizing	155	0
hole	154	121
texts	154	87
shower	154	82
cherry	154	50
interviews	154	27
pour	154	24
thompson	154	24
branches	154	23
glance	154	17
raw	154	10
freshly	154	9
gps	154	8
interpret	154	6
emphasizing	154	3
lingering	154	2
nowadays	154	1
weave	154	0
treated	153	230
wins	153	164
hall	153	99
bowl	153	95
surgery	153	78
kit	153	64
rate	153	56
bananas	153	30
consulting	153	15
thriving	153	12
rapidly	153	9
underestimated	153	2
observe	153	2
filters	153	1
minus	153	0
unmatched	153	0
contingency	153	0
pulls	152	303
urge	152	118
continuing	152	91
tucked	152	30
construction	152	16
images	152	14
disagreements	152	7
civilizations	152	5
dimension	152	4
richness	152	1
quantum	152	1
gradual	152	0
request	151	157
wisdom	151	79
thai	151	57
symphony	151	40
lifts	151	25
person's	151	21
deck	151	20
nightmare	151	17
cooler	151	16
official	151	16
superhero	151	13
guided	151	12
anticipating	151	9
stretching	151	7
car's	151	6
delayed	151	4
pressured	151	4
mechanics	151	4
teas	151	1
panels	151	1
extensively	151	0
convince	150	305
john	150	101
guilt	150	57
uncle	150	41
dropping	150	28
berries	150	26
grandma	150	21
camp	150	20
visitors	150	6
graphic	150	6
justify	150	6
masterpiece	150	5
tailored	150	5
wavelength	150	4
functionality	150	0
believes	149	1204
waited	149	469
bench	149	267
dirty	149	210
overheard	149	128
lisa	149	30
captivated	149	26
tap	149	25
mattered	149	22
convenience	149	12
mrs	149	6
approachable	149	4
draining	149	3
distribute	149	3
reacting	149	2
ha	149	0
effectiveness	149	0
smiles	148	410
lawn	148	78
bandage	148	59
persistent	148	56
horses	148	52
beneath	148	38
invisible	148	21
village	148	20
tasting	148	13
hues	148	3
minimal	148	1
oven	147	46
skeptical	147	40
floating	147	19
professionals	147	6
finance	147	5
catering	147	3
integrates	147	0
pondering	147	0
bow	146	107
kicked	146	100
crashing	146	93
joyful	146	71
mud	146	65
cushions	146	53
editing	146	14
interior	146	13
handles	146	10
devices	146	9
evaluating	146	3
absolute	146	1
envision	146	0
gravity	146	0
yelling	145	217
neck	145	142
sights	145	137
fail	145	64
poetry	145	54
mentor	145	52
karaoke	145	17
peak	145	4
ordinary	145	4
uncover	145	1
technological	145	0
reorganize	145	0
named	144	228
sincere	144	142
bored	144	111
closed	144	104
pretending	144	92
badly	144	70
alley	144	67
questioning	144	53
ankle	144	44
teasing	144	33
oranges	144	30
conduct	144	12
cracks	144	8
ritual	144	8
economy	144	7
workplace	144	5
cluttered	144	4
contemplating	144	2
universal	144	1
feed	143	77
originally	143	45
venture	143	40
earned	143	37
sailing	143	35
broad	143	26
none	143	22
piles	143	18
maintained	143	12
bye	143	8
laying	143	8
mid	143	3
agile	143	3
automatically	143	2
utilize	143	2
testament	143	2
combines	143	1
approval	142	123
award	142	73
repay	142	54
sufficient	142	26
chords	142	13
represent	142	12
locals	142	9
polished	142	7
ensured	142	4
client's	142	4
grounding	142	3
segment	142	0
controlling	141	110
successfully	141	77
sweater	141	76
aura	141	53
item	141	32
dizzy	141	22
cleaner	141	21
entry	141	14
dismissive	141	13
inform	141	11
inclusive	141	10
glow	141	9
deepen	141	1
pinpoint	141	0
avenues	141	0
experts	141	0
eyeing	140	77
seconds	140	74
clock	140	69
shampoo	140	46
backing	140	18
pro	140	17
sketches	140	11
affordable	140	9
visualize	140	4
sites	140	4
meanwhile	140	3
documentaries	140	1
retention	140	0
tapestry	140	0
pivot	140	0
enchanting	140	0
availability	140	0
plane	139	124
stack	139	63
hearted	139	22
dear	139	18
independently	139	14
entertainment	139	10
hr	139	9
flights	139	8
dives	139	5
horizons	139	1
algorithms	139	0
throat	138	117
fur	138	63
olive	138	56
balloons	138	52
stumble	138	47
unknown	138	46
fond	138	28
frisbee	138	16
handful	138	14
confirmed	138	14
replacing	138	13
edges	138	9
avocado	138	5
unfolded	138	4
commendable	138	1
bottlenecks	138	0
compatibility	138	0
kissing	137	197
stairs	137	97
grows	137	93
facebook	137	79
fever	137	57
appointments	137	45
released	137	44
lamp	137	43
humans	137	18
escalated	137	16
anyways	137	10
listing	137	8
instruments	137	7
dense	137	5
swap	137	3
survey	137	1
preliminary	137	0
demographic	137	0
nudge	137	0
budgets	137	0
arguing	136	397
orders	136	154
danced	136	117
attempt	136	110
earn	136	92
flames	136	76
he'd	136	65
delivered	136	49
blankets	136	29
belief	136	24
finalized	136	10
crispy	136	9
unspoken	136	4
assurance	136	4
global	136	3
richer	136	3
immersed	136	1
resilient	136	1
prioritized	136	0
allocated	136	0
herself	135	2885
nails	135	98
pillow	135	87
spoken	135	56
controlled	135	54
knit	135	22
guides	135	20
biking	135	17
fortunate	135	15
polish	135	14
planets	135	12
newer	135	12
aspirations	135	11
aids	135	10
maps	135	5
isolating	135	1
absorb	135	1
herbal	135	0
locally	135	0
renaissance	135	0
foundational	135	0
reorganizing	135	0
factoring	135	0
regions	135	0
pointed	134	138
floors	134	79
enter	134	79
ginger	134	32
contribution	134	19
fade	134	8
transformed	134	7
palette	134	3
composed	134	2
looming	134	2
workflows	134	0
girls	133	276
wheel	133	47
emma	133	43
site	133	43
deer	133	35
juicy	133	32
logic	133	18
enjoyment	133	10
surrounding	133	10
arts	133	8
transfer	133	7
outlines	133	5
character's	133	1
installation	133	1
revolutionize	133	0
distribution	133	0
teaches	132	349
link	132	66
flew	132	56
awake	132	39
tom	132	36
closing	132	34
blow	132	33
lock	132	30
diner	132	28
landing	132	25
steering	132	17
monitoring	132	9
backgrounds	132	6
popping	132	2
accountability	132	2
pairing	132	1
surveys	132	1
balances	132	1
assuming	132	1
crafts	132	1
emerging	132	0
husband	131	235
struck	131	171
weak	131	84
bleeding	131	64
branch	131	61
sensation	131	29
pan	131	27
positions	131	19
stir	131	14
preparations	131	13
stalls	131	6
sketching	131	2
steep	131	2
suppliers	131	1
unpredictability	131	1
component	131	1
amplify	131	0
fosters	131	0
fears	130	69
pouring	130	25
trim	130	21
highway	130	20
campfire	130	17
closure	130	17
prevents	130	12
jogging	130	9
hints	130	8
dough	130	8
psychology	130	8
upsetting	130	7
clarification	130	6
camaraderie	130	5
startup	130	3
established	130	3
leaders	130	2
fulfillment	130	2
multiply	130	1
when's	130	0
adapted	130	0
rid	129	155
presents	129	118
raining	129	59
equal	129	44
carefree	129	42
opponent	129	40
articulate	129	39
dying	129	38
speaker	129	35
la	129	35
reckless	129	29
severe	129	13
cooperation	129	11
year's	129	10
periods	129	10
traits	129	6
quirks	129	5
locations	129	4
brakes	129	4
craftsmanship	129	2
vanished	129	2
discounts	129	1
ooh	129	0
loyal	128	335
served	128	87
expert	128	44
leather	128	44
shattered	128	35
insane	128	15
observation	128	14
headphones	128	11
composition	128	7
signal	128	7
plug	128	4
supposedly	128	3
automating	128	1
diversifying	128	0
wonderfully	128	0
automated	128	0
tutorials	128	0
bedroom	127	263
delighted	127	111
pendant	127	76
locked	127	59
fries	127	47
landed	127	46
sport	127	46
spinning	127	22
burgers	127	22
midnight	127	20
permanent	127	17
reservations	127	16
damaged	127	15
portfolio	127	12
warmer	127	11
valley	127	8
solely	127	3
mentorship	127	0
invitation	126	224
extremely	126	128
nicer	126	76
driver	126	71
massage	126	67
receiving	126	49
studio	126	34
carrots	126	29
tables	126	23
phones	126	19
charger	126	8
softer	126	6
almond	126	6
coping	126	4
calculations	126	4
solidify	126	2
tidying	126	1
encountered	126	1
instances	126	0
jealous	125	522
wrist	125	67
sentence	125	60
agreeing	125	48
neatly	125	44
tent	125	24
watering	125	23
upper	125	21
expense	125	16
tournament	125	14
melt	125	13
strain	125	13
north	125	12
outstanding	125	11
weaving	125	6
impressions	125	6
industries	125	4
engineering	125	4
revise	125	3
tougher	125	2
rejuvenating	125	0
yield	125	0
assertive	124	193
cancer	124	190
dollar	124	110
bodies	124	83
extended	124	82
tape	124	53
quest	124	50
granted	124	37
criticism	124	35
dances	124	24
musical	124	22
startled	124	17
decorating	124	17
seminar	124	13
revolution	124	13
comedies	124	7
nutrition	124	3
spiral	124	3
equals	124	3
pressures	124	2
workspace	124	1
ecosystem	124	1
ya	124	0
complemented	124	0
returns	123	178
affection	123	130
makeup	123	88
spanish	123	67
truthful	123	65
e	123	53
grandparents	123	49
claim	123	48
status	123	41
france	123	38
engrossed	123	18
actors	123	8
intent	123	5
tale	123	5
combinations	123	4
slower	123	4
ecosystems	123	1
compile	123	1
outweigh	123	1
toughest	123	0
refresh	123	0
raised	122	120
debt	122	113
assistant	122	109
employees	122	72
rainy	122	49
earrings	122	42
borrowing	122	28
tomato	122	26
surfing	122	23
summit	122	22
length	122	22
stretched	122	18
clumsy	122	17
proven	122	14
thirty	122	11
gem	122	8
caffeine	122	4
integral	122	4
cameras	122	2
tomorrow's	122	2
emphasis	122	2
visualization	122	2
proposals	122	1
sheer	122	1
burnout	122	0
dedicate	122	0
upgrading	122	0
observed	121	133
porch	121	103
asset	121	100
survive	121	29
preventing	121	22
planet	121	22
floral	121	12
occupied	121	10
pairs	121	3
aesthetic	121	2
vigilant	121	2
pilot	121	2
squared	121	2
miscommunication	121	1
viewpoints	121	1
perceived	121	0
immersing	121	0
mishaps	121	0
adaptation	121	0
friend's	120	220
stealing	120	178
houses	120	56
fifty	120	42
ridge	120	38
drowning	120	37
flattered	120	31
thread	120	28
defensive	120	25
ordering	120	16
appetizers	120	6
nurture	120	5
survival	120	4
milestone	120	2
imagery	120	2
backstory	120	1
victories	120	1
positioning	120	1
groundwork	120	0
volumes	120	0
notices	119	430
crime	119	91
classmates	119	80
replaced	119	68
towel	119	54
shoe	119	53
blessing	119	48
avoided	119	42
cheers	119	37
mechanic	119	32
rosemary	119	29
shirts	119	27
fund	119	24
delight	119	23
equipped	119	12
responsive	119	11
sketch	119	9
batch	119	9
properties	119	8
behaviors	119	8
crowds	119	8
accountable	119	5
sparked	119	2
isolate	119	1
eventful	119	0
symbolic	119	0
conservation	119	0
segments	119	0
where's	119	0
desire	118	169
divorce	118	124
states	118	98
anniversary	118	52
degree	118	42
burger	118	32
rocky	118	31
noises	118	30
intertwined	118	24
region	118	11
promoting	118	10
interacting	118	9
ads	118	6
ingredient	118	5
acoustic	118	2
purely	118	1
thrillers	118	0
cry	117	395
marry	117	186
welcomed	117	176
compliments	117	136
impulsive	117	71
thirsty	117	68
sculptures	117	40
per	117	26
family's	117	22
sincerity	117	20
casting	117	13
proving	117	9
relieve	117	5
blur	117	3
slippery	117	1
rollout	117	0
himself	116	2523
pushes	116	211
pregnant	116	157
locker	116	103
posts	116	75
asia	116	40
marshmallows	116	32
tank	116	30
colleague	116	24
cereal	116	17
consult	116	16
reference	116	13
drifting	116	6
extent	116	5
overcoming	116	5
spotless	116	5
workouts	116	4
impacting	116	3
protocol	116	1
teeth	115	143
races	115	80
bikes	115	37
textbook	115	27
signing	115	21
dip	115	21
proposing	115	5
dwelling	115	5
suitable	115	4
kidding	115	4
individually	115	3
indoor	115	2
picturesque	115	2
photosynthesis	115	1
minimizing	115	0
blues	115	0
positives	115	0
paints	114	95
generosity	114	46
appears	114	41
grandfather	114	37
knight	114	36
rewards	114	21
crunch	114	17
encounters	114	16
fragile	114	13
night's	114	9
south	114	9
handmade	114	9
repeating	114	9
impeccable	114	8
impacted	114	3
determine	114	2
unbearable	114	2
symbolize	114	1
vary	114	1
categorize	114	0
yum	114	0
quarter's	114	0
imperative	114	0
died	113	340
protective	113	110
dressed	113	101
vote	113	74
government	113	51
sneaky	113	42
aisle	113	40
spain	113	35
landmarks	113	33
bedtime	113	26
bait	113	21
execute	113	18
stones	113	14
costumes	113	10
seeds	113	10
salads	113	9
booked	113	9
cycling	113	8
motivations	113	7
bloom	113	6
cinematography	113	4
scientists	113	3
freshness	113	3
analytical	113	2
creatively	113	2
toss	113	2
towns	113	1
disruptions	113	1
durable	113	0
optimal	113	0
holistic	113	0
stubborn	112	182
ex	112	151
skilled	112	66
gains	112	56
gauge	112	47
sum	112	30
kicking	112	26
shed	112	24
sculpture	112	22
authorities	112	22
talents	112	17
mend	112	12
releases	112	11
mushrooms	112	6
detailing	112	5
mirrors	112	3
piled	112	2
buzzing	112	2
ouch	112	1
mousse	112	0
reevaluate	112	0
evolves	112	0
actionable	112	0
failed	111	160
shut	111	90
mexico	111	82
internet	111	78
snake	111	62
lettuce	111	41
dusty	111	34
hunting	111	29
plates	111	21
blown	111	19
exit	111	16
city's	111	15
treasures	111	11
inconvenience	111	9
casually	111	9
vegan	111	8
shines	111	7
fairness	111	5
toppings	111	4
rains	111	3
nook	111	3
sensible	111	2
journeys	111	1
picnics	111	1
dedicating	111	1
handed	110	326
listener	110	263
lit	110	108
requests	110	95
texting	110	91
below	110	65
james	110	63
king	110	55
attack	110	53
designer	110	32
peanut	110	31
companionship	110	25
heights	110	25
weaknesses	110	21
joint	110	17
vet	110	17
cramped	110	15
twisted	110	15
gut	110	14
roast	110	13
fairly	110	13
battles	110	5
intuition	110	5
fairy	110	4
farmers	110	4
trendy	110	4
ultimate	110	2
mapping	110	1
incorporated	110	1
communications	110	1
audiences	110	1
strengthening	110	0
overpowering	110	0
ideally	110	0
roadblocks	110	0
how've	110	0
enhancements	110	0
annoyed	109	647
powers	109	52
cushion	109	43
remove	109	27
boots	109	19
pillows	109	18
slips	109	18
skipping	109	15
dragging	109	13
sticky	109	13
er	109	10
tested	109	9
maze	109	9
gigs	109	9
hangout	109	6
reporting	109	5
separately	109	4
void	109	3
procedures	109	3
rooftop	109	2
spa	109	2
destinations	109	2
selecting	109	2
ethical	109	1
layering	109	0
pricing	109	0
psychological	109	0
dead	108	114
objects	108	88
christmas	108	85
knock	108	83
innocent	108	65
shells	108	34
appropriate	108	31
strawberry	108	28
parmesan	108	27
nutritious	108	22
sincerely	108	20
dots	108	18
rarely	108	16
winding	108	9
blooming	108	7
brands	108	2
summarize	108	0
precautions	108	0
lips	107	358
promoted	107	139
tutor	107	74
bella	107	43
queen	107	43
purple	107	37
actor	107	32
brushing	107	31
quitting	107	29
proof	107	20
brightened	107	16
languages	107	15
noisy	107	12
panel	107	8
abrupt	107	7
companion	107	7
splitting	107	4
unclear	107	3
hydration	107	2
verify	107	1
upgrades	107	0
overlap	107	0
gun	106	96
princess	106	93
football	106	91
purchase	106	86
basket	106	54
amusement	106	39
luna	106	33
lane	106	32
goods	106	25
injury	106	24
competitions	106	23
roller	106	16
melodies	106	9
birthdays	106	9
scientific	106	7
protecting	106	5
increases	106	4
brew	106	3
podcast	106	3
slowing	106	3
oils	106	1
acknowledgment	106	0
sourced	106	0
intelligent	105	572
admiring	105	199
closest	105	104
hire	105	79
interrupting	105	66
temper	105	57
rabbit	105	45
dusting	105	25
pointers	105	10
chore	105	9
spotlight	105	8
nostalgia	105	3
practicality	105	2
mmhmm	105	1
magnificent	105	1
stake	105	1
enriches	105	1
maximizing	105	0
poor	104	91
buttons	104	50
johnson	104	49
disruptive	104	34
breaths	104	30
blocking	104	30
specializes	104	26
accounts	104	22
entering	104	21
closeness	104	20
tighten	104	19
circus	104	15
endeavors	104	14
sentiment	104	10
pantry	104	5
mural	104	3
linked	104	3
savory	104	3
credibility	104	2
hangouts	104	2
operational	104	1
cognitive	104	1
coincidence	104	1
layered	104	1
cater	104	1
nothing's	104	0
mastering	104	0
scents	104	0
facilitate	104	0
overboard	104	0
confront	103	343
trustworthy	103	199
permission	103	153
lightly	103	101
honored	103	78
burned	103	77
heels	103	70
diary	103	57
rights	103	44
bravery	103	37
barista	103	30
meat	103	29
waters	103	22
tying	103	15
textbooks	103	15
bound	103	13
payments	103	11
relentless	103	10
relive	103	10
rustling	103	6
protein	103	4
intact	103	3
cardio	103	3
aesthetics	103	0
coastal	103	0
energizing	103	0
principle	103	0
learns	102	610
cell	102	80
employee	102	75
charges	102	67
sip	102	66
rescue	102	51
ladder	102	49
washed	102	48
tutoring	102	40
betray	102	38
bruises	102	36
vacuum	102	32
flu	102	32
crack	102	17
acknowledged	102	16
designing	102	13
database	102	7
mode	102	5
undeniable	102	5
participation	102	4
merely	102	1
pleasures	102	1
industrial	102	1
backdrop	102	0
bam	102	0
sanctuary	102	0
overhaul	102	0
reads	101	506
bicycle	101	125
baseball	101	109
forced	101	104
heartbeat	101	46
stuffed	101	43
weights	101	29
profits	101	29
thrown	101	28
string	101	27
sparkling	101	16
discount	101	15
statements	101	12
interpretation	101	5
footwork	101	5
tangled	101	5
croissant	101	3
illustrate	101	2
greenery	101	1
rollercoaster	101	1
specialty	101	1
assign	101	0
bearable	101	0
steal	100	149
ethic	100	89
politics	100	82
opposite	100	65
forces	100	56
gained	100	49
lily	100	49
responding	100	42
reception	100	24
prayer	100	24
sophisticated	100	22
bears	100	19
toll	100	14
descriptions	100	14
vague	100	10
tedious	100	2
structuring	100	2
interpretations	100	2
vendor	100	1
snorkeling	100	0
roadmap	100	0
meditative	100	0
undoubtedly	100	0
suffer	99	156
diamond	99	99
rope	99	68
decorated	99	65
goodnight	99	54
dependable	99	38
mile	99	34
swinging	99	25
calmer	99	25
serving	99	18
salmon	99	14
sneaking	99	11
vendors	99	10
risotto	99	8
ordeal	99	7
absorbed	99	7
crust	99	6
nursery	99	4
medium	99	4
signals	99	4
replaying	99	3
pinch	99	2
onboard	99	1
alter	99	1
ample	99	0
completion	99	0
derivatives	99	0
eh	99	0
driveway	98	113
fallen	98	75
university	98	58
skiing	98	57
meatballs	98	54
disagreement	98	52
prize	98	51
taxes	98	49
mentions	98	46
crystal	98	40
web	98	37
instrument	98	33
pockets	98	27
wagging	98	26
sofa	98	24
paired	98	18
phrases	98	16
officially	98	16
lifetime	98	10
tender	98	10
resistance	98	9
portion	98	6
dolphins	98	6
identified	98	5
avenue	98	4
executed	98	4
offerings	98	3
iconic	98	1
compiling	98	1
tours	98	0
marine	98	0
inputs	98	0
follows	97	359
invites	97	316
failing	97	55
shouting	97	51
hairstyle	97	42
gray	97	38
posters	97	24
glimpse	97	19
strawberries	97	17
weakness	97	14
posture	97	12
appliances	97	11
sake	97	11
gorgeous	97	9
hop	97	6
inconvenient	97	3
foresee	97	1
gelato	97	1
partly	97	1
uneven	97	1
perceptions	97	1
renovations	97	1
costly	97	0
phased	97	0
audience's	97	0
continues	96	294
writer	96	128
duty	96	104
profit	96	59
demeanor	96	59
egg	96	53
vulnerable	96	41
eaten	96	38
hearts	96	27
bruise	96	24
buried	96	23
clue	96	19
vacuuming	96	18
popped	96	13
farmer's	96	12
installed	96	11
lens	96	10
lining	96	9
national	96	9
creepy	96	8
overlooking	96	8
organizations	96	6
edition	96	5
disconnected	96	5
dismissing	96	0
chord	96	0
preserving	96	0
methodologies	96	0
surge	95	152
cheated	95	108
carries	95	91
brushed	95	73
tapping	95	63
canyon	95	57
centered	95	56
mia	95	46
jungle	95	42
backed	95	33
flowed	95	25
neglected	95	24
tax	95	24
successes	95	23
title	95	22
gloves	95	21
coins	95	19
tad	95	16
label	95	16
resort	95	13
glide	95	11
dealt	95	10
perfecting	95	10
unacceptable	95	9
preserve	95	6
spoil	95	6
cues	95	6
starving	95	6
booking	95	3
mild	95	2
dietary	95	1
month's	95	0
notifications	95	0
trajectory	95	0
unparalleled	95	0
sequence	95	0
splendid	95	0
revenge	94	260
chatted	94	232
manages	94	101
defend	94	97
adopted	94	75
ship	94	29
vows	94	28
babies	94	27
exclusive	94	23
blank	94	22
violence	94	21
messaging	94	20
overreacting	94	11
rounded	94	9
endeavor	94	5
exhibitions	94	4
troubling	94	4
partnering	94	3
patches	94	3
leisure	94	3
poetic	94	3
indicate	94	3
historic	94	3
colder	94	2
drastically	94	1
bummer	94	0
perks	94	0
reallocate	94	0
there'll	94	0
fed	93	190
trivial	93	60
homes	93	37
therapist	93	35
rug	93	21
lookout	93	17
iced	93	17
log	93	13
realization	93	9
snug	93	6
unity	93	3
footprint	93	3
supplier	93	3
majestic	93	3
occur	93	1
regulations	93	1
deliberate	93	1
rave	93	1
hindsight	93	0
misleading	93	0
delving	93	0
asks	92	2586
knowledgeable	92	112
rusty	92	49
ace	92	48
skating	92	47
beside	92	44
contentment	92	43
mug	92	42
counselor	92	38
mike	92	37
dash	92	35
lectures	92	31
speeding	92	29
estate	92	29
rolls	92	27
swelling	92	23
spiritual	92	19
flyers	92	17
sarah's	92	16
admitting	92	13
pens	92	13
iron	92	9
distances	92	7
custom	92	6
environmentally	92	5
playtime	92	3
legendary	92	1
indulge	92	1
revising	92	1
how'd	92	0
retro	92	0
featuring	92	0
jotting	92	0
revisions	92	0
phew	92	0
capability	92	0
predicting	92	0
irreplaceable	92	0
profoundly	92	0
climbed	91	74
gossip	91	66
row	91	55
navy	91	54
pepper	91	42
florence	91	41
customs	91	40
cabinet	91	33
coin	91	27
adoption	91	23
wheels	91	15
dismissed	91	12
odds	91	12
print	91	12
symbol	91	10
loads	91	9
granola	91	8
tulips	91	7
slows	91	7
switched	91	6
renowned	91	6
artifacts	91	5
venues	91	5
stocked	91	3
beginners	91	2
